2018-08-29 15:22:36,640 [main] INFO  DefaultTestContextBootstrapper:260 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-08-29 15:22:36,662 [main] INFO  DefaultTestContextBootstrapper:187 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6aba2b86, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@158da8e, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@74e52303, org.springframework.test.context.support.DirtiesContextTestExecutionListener@47af7f3d, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7c729a55, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@3bb9a3ff]
2018-08-29 15:22:36,791 [main] INFO  GenericApplicationContext:582 - Refreshing org.springframework.context.support.GenericApplicationContext@3c19aaa5: startup date [Wed Aug 29 15:22:36 COT 2018]; root of context hierarchy
2018-08-29 15:22:37,774 [main] INFO  AutowiredAnnotationBeanPostProcessor:155 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-08-29 15:22:37,954 [main] INFO  DriverManagerDataSource:133 - Loaded JDBC driver: com.mysql.cj.jdbc.Driver
2018-08-29 15:22:40,398 [main] INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [org/springframework/jdbc/support/sql-error-codes.xml]
2018-08-29 15:22:40,492 [main] INFO  SQLErrorCodesFactory:127 - SQLErrorCodes loaded: [DB2, Derby, H2, HSQL, Informix, MS-SQL, MySQL, Oracle, PostgreSQL, Sybase, Hana]
2018-08-29 15:22:40,523 [Thread-1] INFO  GenericApplicationContext:987 - Closing org.springframework.context.support.GenericApplicationContext@3c19aaa5: startup date [Wed Aug 29 15:22:36 COT 2018]; root of context hierarchy
2018-08-29 15:25:03,811 [main] INFO  DefaultTestContextBootstrapper:260 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-08-29 15:25:03,829 [main] INFO  DefaultTestContextBootstrapper:187 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@71809907, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3ce1e309, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@6aba2b86, org.springframework.test.context.support.DirtiesContextTestExecutionListener@158da8e, org.springframework.test.context.transaction.TransactionalTestExecutionListener@74e52303, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@47af7f3d]
2018-08-29 15:25:03,945 [main] INFO  GenericApplicationContext:582 - Refreshing org.springframework.context.support.GenericApplicationContext@74f0ea28: startup date [Wed Aug 29 15:25:03 COT 2018]; root of context hierarchy
2018-08-29 15:25:04,530 [main] INFO  AutowiredAnnotationBeanPostProcessor:155 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-08-29 15:25:04,683 [main] INFO  DriverManagerDataSource:133 - Loaded JDBC driver: com.mysql.cj.jdbc.Driver
2018-08-29 15:25:06,697 [main] INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [org/springframework/jdbc/support/sql-error-codes.xml]
2018-08-29 15:25:06,784 [main] INFO  SQLErrorCodesFactory:127 - SQLErrorCodes loaded: [DB2, Derby, H2, HSQL, Informix, MS-SQL, MySQL, Oracle, PostgreSQL, Sybase, Hana]
2018-08-29 15:25:06,799 [Thread-1] INFO  GenericApplicationContext:987 - Closing org.springframework.context.support.GenericApplicationContext@74f0ea28: startup date [Wed Aug 29 15:25:03 COT 2018]; root of context hierarchy
2018-08-29 15:25:28,826 [main] INFO  DefaultTestContextBootstrapper:260 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-08-29 15:25:28,847 [main] INFO  DefaultTestContextBootstrapper:187 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6aba2b86, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@158da8e, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@74e52303, org.springframework.test.context.support.DirtiesContextTestExecutionListener@47af7f3d, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7c729a55, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@3bb9a3ff]
2018-08-29 15:25:28,968 [main] INFO  GenericApplicationContext:582 - Refreshing org.springframework.context.support.GenericApplicationContext@3c19aaa5: startup date [Wed Aug 29 15:25:28 COT 2018]; root of context hierarchy
2018-08-29 15:25:29,705 [main] INFO  AutowiredAnnotationBeanPostProcessor:155 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-08-29 15:25:29,950 [main] INFO  DriverManagerDataSource:133 - Loaded JDBC driver: com.mysql.cj.jdbc.Driver
2018-08-29 15:25:31,841 [main] INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [org/springframework/jdbc/support/sql-error-codes.xml]
2018-08-29 15:25:31,933 [main] INFO  SQLErrorCodesFactory:127 - SQLErrorCodes loaded: [DB2, Derby, H2, HSQL, Informix, MS-SQL, MySQL, Oracle, PostgreSQL, Sybase, Hana]
2018-08-29 15:25:31,950 [Thread-1] INFO  GenericApplicationContext:987 - Closing org.springframework.context.support.GenericApplicationContext@3c19aaa5: startup date [Wed Aug 29 15:25:28 COT 2018]; root of context hierarchy
